,	Task ID,	Task Name,	Estimated Study Time_,	Importance Score,	Deadline,	Difficulty Level,	Task Type
Scenario 1: Low-pressure scenario,	1,	Revise Dynamic Programming Concepts,	4,	5,	2,	5,	Revision
,	2,	Complete Deep Learning Tutorial,	    3,	4,	1,	4,	Tutorial
,	3,	Practise CNN Problems,	                2,	4,	3,	3,	Practice
,	4,	Review Sorting Algorithms,	            2,	3,	5,	2,	Revision
,	5,	Finish Operating System Report,	        5,	5,	1,	4,	Assignment
,	6,	Practise Time Complexity Questions,	    2,	4,	2,	3,	Practice
,	7,	Review Deep Learning Concept,	        3,	3,	4,	3,	Revision
,	8,	Revise 0/1 Knapsack Example,	        2,	5,	2,	4,	Revision
,	9,	Complete Pseudocode Questions,	        3,	5,	3,	5,	Practice
,	10,	Review File System and I/O Management,	1,	3,	1,	3,	Revision
Scenario 2: High-pressure scenario,	1,	Revise Operating System Process Scheduling,	4,	3,	6,	4,	Revision
,	2,	Complete Deep Learning Tutorial,	        3,	4,	3,	4,	Tutorial
,	3,	Practise CNN Implementation Problems,	    4,	3,	7,	5,	Practice
,	4,	Finish Java Programming Assignment,	        5,	3,	2,	5,	Assignment
,	5,	Review Memory Management Concepts,	        3,	4,	4,	4,	Revision
,	6,	Practise Dynamic Programming Questions,	    4,	4,	8,	5,	Practice
,	7,	Complete Algorithm Analysis Tutorial,	    2,	3,	2,	3,	Tutorial
,	8,	Prepare Slides for Project Presentation,	2,	3,	1,	2,	Assignment
,	9,	Revise Gradient Descent,	                3,	4,	5,	4,	Revision
,	10,	Complete File System and I/O Exercises,	    1,	2,	1,	2,	Practice
Scenario 3: Deadline-focused scenario,	1,	Revise Backpropagation in Neural Networks,	1,	3,	3,	2,	Revision
,	2,	Complete OS Tutorial,	                        2,	1,	2,	3,	Tutorial
,	3,	Implement CNN Model,	                        4,	3,	2,	3,	Assignment
,	4,	Complete the Java Programming Assignment,	    8,	10,	3,	5,	Assignment
,	5,	Prepare for Java Class Quiz,	                5,	3,	3,	4,	Revision
,	6,	Do Quiz on Time Complexity Online,	            1,	2,	2,	3,	Practice
,	7,	Solve Backtracking Problems,	                4,	2,	1,	2,	Practice
,	8,	Draft Slide Script for Project Presentation,	2,	4,	2,	1,	Assignment
,	9,	Complete Dynamic Programming Tutorial,	        3,	5,	3,	2,	Tutorial
,	10,	Hyperparameter Tuning Practice,	                9,	9,	1,	4,	Practice
,	11,	Revise Deep Learning Formula Sheet,	            1,	3,	1,	2,	Revision

